timestamp,ecg
0.0000,0.0062
0.0040,0.0176
0.0080,0.0173
0.0120,0.0090
0.0160,0.0071
0.0200,0.0187
0.0240,0.0341
0.0280,0.0398
0.0320,0.0355
0.0360,0.0349
0.0400,0.0479
0.0440,0.0678
0.0480,0.0802
0.0520,0.0810
0.0560,0.0820
0.0600,0.0953
0.0640,0.1177
0.0680,0.1344
0.0720,0.1380
0.0760,0.1376
0.0800,0.1468
0.0840,0.1659
0.0880,0.1812
0.0920,0.1825
0.0960,0.1756
0.1000,0.1752
0.1040,0.1852
0.1080,0.1941
0.1120,0.1894
0.1160,0.1740
0.1200,0.1624
0.1240,0.1623
0.1280,0.1648
0.1320,0.1562
0.1360,0.1359
0.1400,0.1173
0.1440,0.1112
0.1480,0.1119
0.1520,0.1050
0.1560,0.0861
0.1600,0.0668
0.1640,0.0597
0.1680,0.0627
0.1720,0.0614
0.1760,0.0480
0.1800,0.0312
0.1840,0.0249
0.1880,0.0300
0.1920,0.0330
0.1960,0.0226
0.2000,0.0033
0.2040,-0.0112
0.2080,-0.0169
0.2120,-0.0251
0.2160,-0.0476
0.2200,-0.0797
0.2240,-0.1027
0.2280,-0.1033
0.2320,-0.0840
0.2360,-0.0541
0.2400,-0.0117
0.2440,0.0574
0.2480,0.1637
0.2520,0.2999
0.2560,0.4473
0.2600,0.5950
0.2640,0.7454
0.2680,0.9008
0.2720,1.0471
0.2760,1.1573
0.2800,1.2115
0.2840,1.2100
0.2880,1.1646
0.2920,1.0802
0.2960,0.9527
0.3000,0.7833
0.3040,0.5910
0.3080,0.4044
0.3120,0.2411
0.3160,0.0993
0.3200,-0.0286
0.3240,-0.1391
0.3280,-0.2183
0.3320,-0.2594
0.3360,-0.2734
0.3400,-0.2779
0.3440,-0.2791
0.3480,-0.2679
0.3520,-0.2363
0.3560,-0.1917
0.3600,-0.1515
0.3640,-0.1235
0.3680,-0.0992
0.3720,-0.0664
0.3760,-0.0268
0.3800,0.0055
0.3840,0.0214
0.3880,0.0288
0.3920,0.0426
0.3960,0.0660
0.4000,0.0870
0.4040,0.0947
0.4080,0.0936
0.4120,0.0985
0.4160,0.1160
0.4200,0.1361
0.4240,0.1455
0.4280,0.1448
0.4320,0.1478
0.4360,0.1640
0.4400,0.1860
0.4440,0.1994
0.4480,0.2010
0.4520,0.2031
0.4560,0.2173
0.4600,0.2399
0.4640,0.2560
0.4680,0.2593
0.4720,0.2594
0.4760,0.2698
0.4800,0.2903
0.4840,0.3070
0.4880,0.3104
0.4920,0.3072
0.4960,0.3117
0.5000,0.3275
0.5040,0.3425
0.5080,0.3445
0.5120,0.3369
0.5160,0.3343
0.5200,0.3434
0.5240,0.3547
0.5280,0.3544
0.5320,0.3424
0.5360,0.3323
0.5400,0.3339
0.5440,0.3407
0.5480,0.3383
0.5520,0.3229
0.5560,0.3064
0.5600,0.3010
0.5640,0.3038
0.5680,0.3004
0.5720,0.2836
0.5760,0.2629
0.5800,0.2521
0.5840,0.2519
0.5880,0.2490
0.5920,0.2333
0.5960,0.2110
0.6000,0.1969
0.6040,0.1951
0.6080,0.1941
0.6120,0.1816
0.6160,0.1603
0.6200,0.1447
0.6240,0.1422
0.6280,0.1440
0.6320,0.1361
0.6360,0.1176
0.6400,0.1018
0.6440,0.0991
0.6480,0.1036
0.6520,0.1007
0.6560,0.0860
0.6600,0.0708
0.6640,0.0676
0.6680,0.0741
0.6720,0.0760
0.6760,0.0655
0.6800,0.0511
0.6840,0.0470
0.6880,0.0545
0.6920,0.0603
0.6960,0.0538
0.7000,0.0405
0.7040,0.0351
0.7080,0.0422
0.7120,0.0509
0.7160,0.0482
0.7200,0.0362
0.7240,0.0290
0.7280,0.0349
0.7320,0.0453
0.7360,0.0461
0.7400,0.0356
0.7440,0.0268
0.7480,0.0306
0.7520,0.0417
0.7560,0.0456
0.7600,0.0370
0.7640,0.0269
0.7680,0.0281
0.7720,0.0391
0.7760,0.0456
0.7800,0.0393
0.7840,0.0283
0.7880,0.0268
0.7920,0.0368
0.7960,0.0455
0.8000,0.0418
0.8040,0.0305
0.8080,0.0263
0.8120,0.0413
